Fc5.,Fc3.,Fc1.,Fcz.,Fc2.,Fc4.,Fc6.,C5..,C3..,C1..,Cz..,C2..,C4..,C6..,Cp5.,Cp3.,Cp1.,Cpz.,Cp2.,Cp4.,Cp6.,Fp1.,Fpz.,Fp2.,Af7.,Af3.,Afz.,Af4.,Af8.,F7..,F5..,F3..,F1..,Fz..,F2..,F4..,F6..,F8..,Ft7.,Ft8.,T7..,T8..,T9..,T10.,Tp7.,Tp8.,P7..,P5..,P3..,P1..,Pz..,P2..,P4..,P6..,P8..,Po7.,Po3.,Poz.,Po4.,Po8.,O1..,Oz..,O2..,Iz..
4.0,-15.0,7.0,-2.0,-10.0,-3.0,-25.0,-9.0,0.0,11.0,-2.0,-3.0,1.0,1.0,6.0,-7.0,10.0,0.0,2.0,-23.0,6.0,76.0,62.0,71.0,68.0,32.0,15.0,31.0,78.0,53.0,17.0,-3.0,1.0,-4.0,-2.0,7.0,24.0,20.0,31.0,-1.0,17.0,6.0,16.0,-1.0,5.0,20.0,21.0,7.0,12.0,-12.0,2.0,-8.0,24.0,-6.0,12.0,4.0,15.0,-2.0,-17.0,8.0,-17.0,-2.0,-17.0,-34.0
13.0,-5.0,10.0,0.0,-3.0,7.0,-17.0,9.0,22.0,20.0,5.0,4.0,11.0,12.0,23.0,7.0,25.0,10.0,15.0,-3.0,14.0,89.0,74.0,73.0,91.0,46.0,21.0,35.0,71.0,74.0,37.0,7.0,11.0,3.0,2.0,16.0,30.0,25.0,44.0,8.0,35.0,13.0,27.0,-3.0,-2.0,18.0,-71.0,-9.0,0.0,-17.0,-1.0,-10.0,28.0,-5.0,8.0,1.0,3.0,-10.0,-13.0,9.0,-18.0,-4.0,-8.0,-29.0
18.0,-6.0,7.0,-2.0,-2.0,6.0,-10.0,-4.0,10.0,6.0,-4.0,-5.0,7.0,17.0,-2.0,-12.0,5.0,-6.0,10.0,-12.0,11.0,93.0,72.0,76.0,86.0,48.0,19.0,36.0,66.0,66.0,33.0,5.0,12.0,2.0,1.0,18.0,32.0,34.0,35.0,17.0,19.0,2.0,13.0,5.0,0.0,33.0,3.0,2.0,7.0,-7.0,6.0,-1.0,40.0,17.0,32.0,16.0,27.0,5.0,9.0,27.0,2.0,18.0,25.0,-12.0
30.0,17.0,26.0,20.0,16.0,21.0,12.0,20.0,35.0,33.0,20.0,20.0,23.0,35.0,25.0,28.0,37.0,20.0,35.0,12.0,34.0,111.0,97.0,100.0,99.0,69.0,43.0,51.0,86.0,79.0,51.0,34.0,37.0,24.0,20.0,34.0,46.0,42.0,50.0,25.0,40.0,21.0,20.0,13.0,43.0,49.0,159.0,66.0,48.0,26.0,27.0,20.0,55.0,23.0,38.0,41.0,50.0,25.0,16.0,34.0,17.0,29.0,32.0,-13.0
40.0,32.0,33.0,25.0,25.0,14.0,3.0,23.0,45.0,43.0,26.0,17.0,18.0,27.0,45.0,36.0,43.0,26.0,34.0,4.0,23.0,99.0,84.0,76.0,94.0,67.0,39.0,38.0,67.0,79.0,52.0,35.0,34.0,19.0,16.0,25.0,36.0,31.0,49.0,13.0,38.0,8.0,27.0,3.0,18.0,34.0,77.0,46.0,38.0,29.0,24.0,16.0,50.0,5.0,17.0,35.0,43.0,24.0,8.0,25.0,20.0,29.0,33.0,-6.0
44.0,35.0,35.0,30.0,31.0,21.0,0.0,27.0,47.0,42.0,25.0,22.0,27.0,27.0,45.0,36.0,41.0,34.0,38.0,23.0,26.0,102.0,77.0,69.0,95.0,72.0,47.0,43.0,62.0,90.0,59.0,43.0,44.0,28.0,27.0,35.0,42.0,34.0,59.0,21.0,51.0,15.0,40.0,8.0,27.0,45.0,71.0,60.0,48.0,36.0,31.0,25.0,65.0,34.0,42.0,47.0,52.0,27.0,13.0,22.0,24.0,31.0,44.0,5.0
56.0,44.0,42.0,35.0,34.0,31.0,15.0,39.0,45.0,42.0,26.0,32.0,36.0,36.0,55.0,40.0,40.0,30.0,39.0,32.0,35.0,106.0,86.0,77.0,105.0,79.0,55.0,53.0,69.0,100.0,68.0,53.0,51.0,34.0,31.0,46.0,58.0,47.0,70.0,28.0,60.0,22.0,40.0,14.0,33.0,51.0,77.0,60.0,48.0,25.0,25.0,20.0,58.0,20.0,31.0,43.0,44.0,18.0,-2.0,22.0,12.0,17.0,34.0,-6.0
70.0,51.0,45.0,40.0,39.0,33.0,22.0,44.0,55.0,47.0,30.0,37.0,37.0,41.0,64.0,49.0,47.0,33.0,42.0,33.0,39.0,148.0,132.0,123.0,147.0,115.0,81.0,77.0,102.0,117.0,95.0,79.0,76.0,54.0,45.0,63.0,69.0,54.0,82.0,30.0,71.0,50.0,51.0,17.0,33.0,53.0,72.0,57.0,53.0,31.0,34.0,26.0,60.0,20.0,26.0,52.0,54.0,26.0,-3.0,14.0,16.0,31.0,33.0,11.0
78.0,63.0,57.0,45.0,44.0,36.0,23.0,52.0,60.0,53.0,29.0,31.0,34.0,36.0,62.0,47.0,50.0,29.0,35.0,33.0,30.0,152.0,125.0,111.0,136.0,108.0,74.0,63.0,87.0,102.0,82.0,71.0,70.0,42.0,34.0,49.0,56.0,40.0,72.0,21.0,63.0,68.0,44.0,16.0,36.0,43.0,71.0,48.0,34.0,13.0,17.0,9.0,42.0,7.0,21.0,45.0,38.0,7.0,-17.0,10.0,-2.0,15.0,19.0,0.0
60.0,47.0,44.0,26.0,21.0,20.0,5.0,29.0,30.0,30.0,8.0,3.0,17.0,23.0,41.0,16.0,21.0,2.0,14.0,15.0,16.0,129.0,117.0,117.0,119.0,97.0,68.0,62.0,91.0,101.0,75.0,70.0,67.0,44.0,32.0,49.0,62.0,58.0,61.0,24.0,54.0,68.0,47.0,15.0,21.0,35.0,45.0,21.0,10.0,-18.0,-6.0,-8.0,27.0,1.0,17.0,17.0,7.0,-18.0,-27.0,3.0,-24.0,-5.0,-3.0,-23.0
