Fc5.,Fc3.,Fc1.,Fcz.,Fc2.,Fc4.,Fc6.,C5..,C3..,C1..,Cz..,C2..,C4..,C6..,Cp5.,Cp3.,Cp1.,Cpz.,Cp2.,Cp4.,Cp6.,Fp1.,Fpz.,Fp2.,Af7.,Af3.,Afz.,Af4.,Af8.,F7..,F5..,F3..,F1..,Fz..,F2..,F4..,F6..,F8..,Ft7.,Ft8.,T7..,T8..,T9..,T10.,Tp7.,Tp8.,P7..,P5..,P3..,P1..,Pz..,P2..,P4..,P6..,P8..,Po7.,Po3.,Poz.,Po4.,Po8.,O1..,Oz..,O2..,Iz..
6.0,-8.0,14.0,29.0,12.0,18.0,-2.0,-5.0,8.0,15.0,21.0,26.0,2.0,-12.0,-10.0,-5.0,6.0,14.0,13.0,-8.0,-1.0,-47.0,-36.0,-39.0,-33.0,-37.0,-14.0,-10.0,-32.0,-8.0,-39.0,-5.0,-2.0,17.0,29.0,6.0,-20.0,-33.0,-9.0,-8.0,-37.0,-7.0,-25.0,7.0,-15.0,-2.0,-26.0,1.0,24.0,24.0,26.0,11.0,5.0,-26.0,-14.0,-3.0,22.0,27.0,9.0,-3.0,4.0,12.0,14.0,5.0
-2.0,-20.0,6.0,24.0,10.0,16.0,-2.0,-16.0,1.0,6.0,14.0,20.0,-4.0,-20.0,-26.0,-17.0,-2.0,7.0,5.0,-17.0,-9.0,-52.0,-41.0,-43.0,-41.0,-45.0,-20.0,-11.0,-36.0,-15.0,-49.0,-16.0,-11.0,10.0,23.0,1.0,-23.0,-37.0,-20.0,-19.0,-46.0,-18.0,-37.0,-7.0,-27.0,-14.0,-43.0,-24.0,5.0,5.0,8.0,-5.0,-10.0,-36.0,-24.0,-25.0,3.0,8.0,-5.0,-16.0,-24.0,-9.0,-4.0,-24.0
-14.0,-33.0,-2.0,15.0,5.0,10.0,-3.0,-29.0,-7.0,-1.0,8.0,17.0,-6.0,-20.0,-39.0,-23.0,-7.0,6.0,5.0,-16.0,-5.0,-55.0,-44.0,-46.0,-43.0,-47.0,-22.0,-11.0,-37.0,-14.0,-48.0,-17.0,-9.0,13.0,27.0,6.0,-17.0,-34.0,-19.0,-8.0,-51.0,-3.0,-50.0,-7.0,-22.0,1.0,-34.0,-20.0,12.0,12.0,15.0,3.0,3.0,-24.0,-7.0,-14.0,12.0,14.0,10.0,2.0,-15.0,3.0,8.0,-7.0
-6.0,-17.0,10.0,25.0,14.0,23.0,7.0,-17.0,1.0,7.0,16.0,26.0,5.0,-6.0,-29.0,-16.0,-3.0,13.0,11.0,-8.0,3.0,-51.0,-41.0,-44.0,-37.0,-41.0,-19.0,-8.0,-34.0,-11.0,-45.0,-14.0,-8.0,13.0,27.0,7.0,-16.0,-32.0,-20.0,-10.0,-48.0,2.0,-40.0,-15.0,-22.0,1.0,-39.0,-24.0,4.0,4.0,7.0,-7.0,-3.0,-29.0,-5.0,-24.0,2.0,1.0,2.0,-3.0,-24.0,-10.0,-2.0,-18.0
-13.0,-22.0,2.0,16.0,8.0,17.0,3.0,-25.0,-12.0,-4.0,7.0,17.0,-1.0,-15.0,-35.0,-27.0,-14.0,2.0,0.0,-17.0,-4.0,-43.0,-34.0,-35.0,-29.0,-33.0,-12.0,-1.0,-26.0,-10.0,-42.0,-8.0,-3.0,16.0,31.0,12.0,-11.0,-26.0,-21.0,-12.0,-45.0,-6.0,-56.0,-13.0,-21.0,-2.0,-36.0,-22.0,2.0,2.0,5.0,-9.0,-10.0,-32.0,-15.0,-16.0,4.0,-3.0,-7.0,-11.0,-24.0,-12.0,-6.0,-21.0
-3.0,-12.0,11.0,26.0,18.0,28.0,10.0,-15.0,-5.0,3.0,15.0,27.0,8.0,-8.0,-25.0,-20.0,-5.0,13.0,12.0,-6.0,5.0,-35.0,-26.0,-28.0,-24.0,-27.0,-3.0,7.0,-24.0,-8.0,-36.0,2.0,10.0,29.0,42.0,20.0,-4.0,-18.0,-11.0,7.0,-27.0,14.0,-87.0,-21.0,-8.0,6.0,-28.0,-8.0,17.0,18.0,22.0,12.0,11.0,-12.0,-1.0,1.0,20.0,20.0,15.0,8.0,-5.0,9.0,14.0,-3.0
6.0,-1.0,24.0,39.0,29.0,46.0,26.0,-2.0,7.0,16.0,31.0,45.0,26.0,11.0,-10.0,-8.0,10.0,32.0,31.0,13.0,29.0,-24.0,-16.0,-16.0,-13.0,-16.0,6.0,14.0,-12.0,5.0,-26.0,8.0,17.0,35.0,48.0,27.0,1.0,-11.0,-8.0,13.0,-32.0,19.0,33.0,15.0,4.0,20.0,-13.0,5.0,29.0,30.0,32.0,23.0,22.0,1.0,13.0,3.0,27.0,35.0,30.0,22.0,7.0,22.0,27.0,9.0
1.0,-6.0,18.0,30.0,22.0,35.0,16.0,-15.0,0.0,8.0,22.0,34.0,15.0,-1.0,-15.0,-17.0,-1.0,21.0,20.0,-1.0,12.0,-34.0,-28.0,-30.0,-23.0,-25.0,-8.0,-3.0,-26.0,4.0,-36.0,-4.0,3.0,17.0,29.0,8.0,-22.0,-35.0,-20.0,-13.0,-51.0,-4.0,12.0,7.0,-3.0,6.0,-23.0,-11.0,9.0,9.0,12.0,-3.0,-10.0,-30.0,-15.0,-11.0,7.0,15.0,1.0,-11.0,-10.0,1.0,4.0,-10.0
-10.0,-22.0,-4.0,6.0,-3.0,8.0,-12.0,-27.0,-17.0,-11.0,-2.0,10.0,-11.0,-22.0,-26.0,-31.0,-18.0,2.0,1.0,-21.0,-9.0,-48.0,-43.0,-45.0,-34.0,-37.0,-26.0,-20.0,-41.0,-2.0,-45.0,-11.0,-8.0,6.0,15.0,-4.0,-32.0,-49.0,-15.0,-17.0,-36.0,1.0,-37.0,-20.0,-6.0,2.0,-24.0,-8.0,14.0,15.0,18.0,-1.0,-9.0,-27.0,-11.0,-1.0,18.0,27.0,8.0,-4.0,1.0,15.0,14.0,1.0
6.0,-11.0,4.0,12.0,4.0,18.0,2.0,-2.0,3.0,5.0,13.0,23.0,2.0,-12.0,-3.0,-9.0,3.0,20.0,18.0,-7.0,1.0,-39.0,-34.0,-35.0,-24.0,-27.0,-17.0,-8.0,-30.0,8.0,-30.0,1.0,2.0,17.0,26.0,7.0,-15.0,-30.0,10.0,-5.0,-10.0,-5.0,-32.0,1.0,4.0,-2.0,-5.0,12.0,29.0,31.0,33.0,10.0,-1.0,-28.0,-16.0,8.0,29.0,31.0,8.0,-12.0,3.0,12.0,11.0,-5.0
16.0,1.0,15.0,25.0,15.0,27.0,12.0,9.0,14.0,16.0,23.0,32.0,7.0,-12.0,3.0,1.0,13.0,25.0,22.0,-7.0,-4.0,-40.0,-31.0,-32.0,-23.0,-26.0,-13.0,0.0,-27.0,5.0,-31.0,-1.0,4.0,19.0,32.0,12.0,-12.0,-27.0,1.0,-8.0,-19.0,-10.0,21.0,-25.0,10.0,-13.0,-22.0,-6.0,15.0,16.0,18.0,-4.0,-12.0,-36.0,-30.0,-14.0,13.0,8.0,-5.0,-25.0,-23.0,-9.0,-6.0,-25.0
3.0,-8.0,10.0,20.0,8.0,24.0,2.0,-4.0,4.0,7.0,15.0,23.0,-3.0,-20.0,-12.0,-7.0,3.0,13.0,12.0,-17.0,-12.0,-51.0,-40.0,-42.0,-33.0,-36.0,-19.0,-3.0,-29.0,-5.0,-37.0,-7.0,-2.0,14.0,27.0,10.0,-16.0,-29.0,-6.0,-5.0,-29.0,-3.0,8.0,-40.0,5.0,-18.0,-25.0,-3.0,12.0,12.0,15.0,-10.0,-15.0,-36.0,-30.0,-10.0,12.0,5.0,-2.0,-21.0,-18.0,-6.0,-4.0,-20.0
10.0,-3.0,14.0,22.0,10.0,22.0,-2.0,2.0,12.0,14.0,20.0,23.0,-3.0,-24.0,-3.0,1.0,7.0,14.0,13.0,-15.0,-11.0,-43.0,-34.0,-35.0,-25.0,-29.0,-13.0,-1.0,-24.0,2.0,-27.0,2.0,4.0,17.0,27.0,9.0,-16.0,-31.0,7.0,-11.0,-18.0,-13.0,-6.0,3.0,4.0,-14.0,-24.0,3.0,10.0,11.0,13.0,-13.0,-15.0,-36.0,-23.0,-15.0,7.0,-2.0,-5.0,-22.0,-16.0,-6.0,-4.0,-18.0
15.0,1.0,13.0,18.0,4.0,14.0,-12.0,-1.0,10.0,7.0,11.0,12.0,-12.0,-31.0,-8.0,-6.0,-3.0,3.0,1.0,-26.0,-21.0,-47.0,-41.0,-41.0,-34.0,-36.0,-22.0,-11.0,-34.0,-10.0,-36.0,-6.0,-6.0,5.0,16.0,-2.0,-23.0,-39.0,-1.0,-16.0,-24.0,-16.0,-15.0,-33.0,-7.0,-22.0,-33.0,-12.0,-4.0,-3.0,-1.0,-26.0,-26.0,-46.0,-31.0,-24.0,-5.0,-17.0,-21.0,-31.0,-29.0,-20.0,-18.0,-32.0
1.0,-13.0,-1.0,1.0,-12.0,6.0,-15.0,-11.0,-1.0,-6.0,-4.0,1.0,-21.0,-33.0,-15.0,-14.0,-14.0,-7.0,-10.0,-33.0,-27.0,-56.0,-48.0,-49.0,-45.0,-49.0,-34.0,-20.0,-39.0,-26.0,-48.0,-20.0,-21.0,-12.0,3.0,-13.0,-30.0,-37.0,-18.0,-17.0,-32.0,-17.0,-21.0,-17.0,-5.0,-29.0,-26.0,-14.0,-6.0,-6.0,-3.0,-27.0,-33.0,-51.0,-41.0,-17.0,-7.0,-19.0,-27.0,-35.0,-25.0,-15.0,-17.0,-26.0
-4.0,-22.0,-10.0,-10.0,-21.0,-5.0,-24.0,-10.0,-2.0,-10.0,-8.0,-4.0,-25.0,-41.0,-10.0,-13.0,-14.0,-8.0,-11.0,-35.0,-31.0,-58.0,-53.0,-54.0,-43.0,-46.0,-35.0,-27.0,-45.0,-23.0,-43.0,-16.0,-18.0,-13.0,2.0,-16.0,-34.0,-44.0,-8.0,-23.0,-31.0,-30.0,-19.0,-5.0,2.0,-25.0,-22.0,-7.0,0.0,1.0,3.0,-20.0,-24.0,-49.0,-40.0,-15.0,1.0,-12.0,-22.0,-35.0,-17.0,-10.0,-12.0,-25.0
