      Time       Date     Sample #  Type  Sub Chan  Num	Aux
[16:15:00.000 12/08/2009]        0     "    0    0    0	## time resolution: 128
[16:15:00.000 12/08/2009]        0          0    0    0
[16:15:00.000 12/08/2009]        0     "    0    0    0	T0 duration: 1.375
[16:15:01.375 12/08/2009]      176     "    0    0    0	T2 duration: 5.125
[16:15:06.500 12/08/2009]      832     "    0    0    0	T0 duration: 1.375
[16:15:07.875 12/08/2009]     1008     "    0    0    0	T1 duration: 5.125
[16:15:13.000 12/08/2009]     1664     "    0    0    0	T0 duration: 1.375
[16:15:19.500 12/08/2009]     2496     "    0    0    0	T0 duration: 1.375
[16:15:26.000 12/08/2009]     3328     "    0    0    0	T0 duration: 1.375
[16:15:32.500 12/08/2009]     4160     "    0    0    0	T0 duration: 1.375
[16:15:39.000 12/08/2009]     4992     "    0    0    0	T0 duration: 1.375
[16:15:45.500 12/08/2009]     5824     "    0    0    0	T0 duration: 1.375
[16:15:52.000 12/08/2009]     6656     "    0    0    0	T0 duration: 1.375
[16:15:58.500 12/08/2009]     7488     "    0    0    0	T0 duration: 1.375
[16:16:05.000 12/08/2009]     8320     "    0    0    0	T0 duration: 1.375
[16:16:11.500 12/08/2009]     9152     "    0    0    0	T0 duration: 1.375
[16:16:18.000 12/08/2009]     9984     "    0    0    0	T0 duration: 1.375
[16:16:24.500 12/08/2009]    10816     "    0    0    0	T0 duration: 1.375
[16:16:31.000 12/08/2009]    11648     "    0    0    0	T0 duration: 1.375
[16:16:37.500 12/08/2009]    12480     "    0    0    0	T0 duration: 1.375
[16:16:44.000 12/08/2009]    13312     "    0    0    0	T0 duration: 1.375
[16:16:45.398 12/08/2009]    13491     "    0    0    0	T2 duration: 5.125
[16:16:50.500 12/08/2009]    14144     "    0    0    0	T0 duration: 1.375
[16:16:51.898 12/08/2009]    14323     "    0    0    0	T1 duration: 5.125
[16:16:57.000 12/08/2009]    14976     "    0    0    0	T0 duration: 1.375
[16:16:58.398 12/08/2009]    15155     "    0    0    0	T2 duration: 5.125
