      Time       Date     Sample #  Type  Sub Chan  Num	Aux
[16:15:00.000 12/08/2009]        0     "    0    0    0	## time resolution: 160
[16:15:00.000 12/08/2009]        0          0    0    0
[16:15:00.000 12/08/2009]        0     "    0    0    0	T0 duration: 4.2
[16:15:04.200 12/08/2009]      672     "    0    0    0	T1 duration: 4.1
[16:15:08.300 12/08/2009]     1328     "    0    0    0	T0 duration: 4.2
[16:15:12.500 12/08/2009]     2000     "    0    0    0	T2 duration: 4.1
[16:15:16.600 12/08/2009]     2656     "    0    0    0	T0 duration: 4.2
[16:15:20.800 12/08/2009]     3328     "    0    0    0	T1 duration: 4.1
[16:15:24.900 12/08/2009]     3984     "    0    0    0	T0 duration: 4.2
[16:15:29.100 12/08/2009]     4656     "    0    0    0	T2 duration: 4.1
[16:15:33.200 12/08/2009]     5312     "    0    0    0	T0 duration: 4.2
[16:15:37.400 12/08/2009]     5984     "    0    0    0	T1 duration: 4.1
[16:15:41.500 12/08/2009]     6640     "    0    0    0	T0 duration: 4.2
[16:15:45.700 12/08/2009]     7312     "    0    0    0	T2 duration: 4.1
[16:15:49.800 12/08/2009]     7968     "    0    0    0	T0 duration: 4.2
[16:15:54.000 12/08/2009]     8640     "    0    0    0	T1 duration: 4.1
[16:15:58.100 12/08/2009]     9296     "    0    0    0	T0 duration: 4.2
[16:16:02.300 12/08/2009]     9968     "    0    0    0	T2 duration: 4.1
[16:16:06.400 12/08/2009]    10624     "    0    0    0	T0 duration: 4.2
[16:16:10.600 12/08/2009]    11296     "    0    0    0	T1 duration: 4.1
[16:16:14.700 12/08/2009]    11952     "    0    0    0	T0 duration: 4.2
[16:16:18.900 12/08/2009]    12624     "    0    0    0	T2 duration: 4.1
[16:16:23.000 12/08/2009]    13280     "    0    0    0	T0 duration: 4.2
[16:16:27.200 12/08/2009]    13952     "    0    0    0	T2 duration: 4.1
[16:16:31.300 12/08/2009]    14608     "    0    0    0	T0 duration: 4.2
[16:16:35.500 12/08/2009]    15280     "    0    0    0	T1 duration: 4.1
[16:16:39.600 12/08/2009]    15936     "    0    0    0	T0 duration: 4.2
[16:16:43.800 12/08/2009]    16608     "    0    0    0	T2 duration: 4.1
[16:16:47.900 12/08/2009]    17264     "    0    0    0	T0 duration: 4.2
[16:16:52.100 12/08/2009]    17936     "    0    0    0	T1 duration: 4.1
[16:16:56.200 12/08/2009]    18592     "    0    0    0	T0 duration: 4.2
[16:17:00.400 12/08/2009]    19264     "    0    0    0	T2 duration: 4.1
