      Time       Date     Sample #  Type  Sub Chan  Num	Aux
[16:15:00.000 12/08/2009]        0     "    0    0    0	## time resolution: 160
[16:15:00.000 12/08/2009]        0          0    0    0
[16:15:00.000 12/08/2009]        0     "    0    0    0	T0 duration: 4.2
[16:15:04.200 12/08/2009]      672     "    0    0    0	T2 duration: 4.1
[16:15:08.300 12/08/2009]     1328     "    0    0    0	T0 duration: 4.2
[16:15:12.500 12/08/2009]     2000     "    0    0    0	T1 duration: 4.1
[16:15:16.600 12/08/2009]     2656     "    0    0    0	T0 duration: 4.2
[16:15:20.800 12/08/2009]     3328     "    0    0    0	T1 duration: 4.1
[16:15:24.900 12/08/2009]     3984     "    0    0    0	T0 duration: 4.2
[16:15:29.100 12/08/2009]     4656     "    0    0    0	T2 duration: 4.1
[16:15:33.200 12/08/2009]     5312     "    0    0    0	T0 duration: 3.1
