      Time       Date     Sample #  Type  Sub Chan  Num	Aux
[16:15:00.000 12/08/2009]        0     "    0    0    0	## time resolution: 160
[16:15:00.000 12/08/2009]        0          0    0    0
[16:15:00.000 12/08/2009]        0     "    0    0    0	T0 duration: 4.2
[16:15:04.200 12/08/2009]      672     "    0    0    0	T1 duration: 4.1
[16:15:08.300 12/08/2009]     1328     "    0    0    0	T0 duration: 4.1
[16:15:12.400 12/08/2009]     1984     "    0    0    0	T2 duration: 4.1
[16:15:16.500 12/08/2009]     2640     "    0    0    0	T0 duration: 4.1
[16:15:20.600 12/08/2009]     3296     "    0    0    0	T1 duration: 4.1
[16:15:24.700 12/08/2009]     3952     "    0    0    0	T0 duration: 4.1
[16:15:28.800 12/08/2009]     4608     "    0    0    0	T2 duration: 4.1
[16:15:32.900 12/08/2009]     5264     "    0    0    0	T0 duration: 4.1
[16:15:37.000 12/08/2009]     5920     "    0    0    0	T1 duration: 4.1
[16:15:41.100 12/08/2009]     6576     "    0    0    0	T0 duration: 4.1
[16:15:45.200 12/08/2009]     7232     "    0    0    0	T2 duration: 4.1
[16:15:49.300 12/08/2009]     7888     "    0    0    0	T0 duration: 4.1
[16:15:53.400 12/08/2009]     8544     "    0    0    0	T1 duration: 4.1
[16:15:57.500 12/08/2009]     9200     "    0    0    0	T0 duration: 4.1
[16:16:01.600 12/08/2009]     9856     "    0    0    0	T2 duration: 4.1
[16:16:05.700 12/08/2009]    10512     "    0    0    0	T0 duration: 4.1
[16:16:09.800 12/08/2009]    11168     "    0    0    0	T2 duration: 4.1
[16:16:13.900 12/08/2009]    11824     "    0    0    0	T0 duration: 4.1
[16:16:18.000 12/08/2009]    12480     "    0    0    0	T1 duration: 4.1
[16:16:22.100 12/08/2009]    13136     "    0    0    0	T0 duration: 4.1
[16:16:26.200 12/08/2009]    13792     "    0    0    0	T1 duration: 4.1
[16:16:30.300 12/08/2009]    14448     "    0    0    0	T0 duration: 4.1
[16:16:34.400 12/08/2009]    15104     "    0    0    0	T2 duration: 4.1
[16:16:38.500 12/08/2009]    15760     "    0    0    0	T0 duration: 4.1
[16:16:42.600 12/08/2009]    16416     "    0    0    0	T1 duration: 4.1
[16:16:46.700 12/08/2009]    17072     "    0    0    0	T0 duration: 4.1
[16:16:50.800 12/08/2009]    17728     "    0    0    0	T2 duration: 4.1
[16:16:54.900 12/08/2009]    18384     "    0    0    0	T0 duration: 4.1
[16:16:59.000 12/08/2009]    19040     "    0    0    0	T2 duration: 4
