Fc5.,Fc3.,Fc1.,Fcz.,Fc2.,Fc4.,Fc6.,C5..,C3..,C1..,Cz..,C2..,C4..,C6..,Cp5.,Cp3.,Cp1.,Cpz.,Cp2.,Cp4.,Cp6.,Fp1.,Fpz.,Fp2.,Af7.,Af3.,Afz.,Af4.,Af8.,F7..,F5..,F3..,F1..,Fz..,F2..,F4..,F6..,F8..,Ft7.,Ft8.,T7..,T8..,T9..,T10.,Tp7.,Tp8.,P7..,P5..,P3..,P1..,Pz..,P2..,P4..,P6..,P8..,Po7.,Po3.,Poz.,Po4.,Po8.,O1..,Oz..,O2..,Iz..
15.0,16.0,15.0,7.0,-5.0,7.0,1.0,-6.0,4.0,-8.0,4.0,-3.0,-16.0,12.0,-4.0,-22.0,-23.0,-17.0,-15.0,-31.0,14.0,-39.0,-65.0,-48.0,-10.0,-31.0,-7.0,13.0,-35.0,0.0,-8.0,-6.0,-4.0,-1.0,16.0,15.0,16.0,14.0,-3.0,35.0,14.0,24.0,21.0,30.0,19.0,31.0,13.0,16.0,-14.0,-16.0,2.0,10.0,15.0,13.0,3.0,18.0,39.0,44.0,15.0,-22.0,-84.0,1.0,4.0,1.0
32.0,27.0,24.0,19.0,8.0,23.0,25.0,-3.0,13.0,-1.0,15.0,10.0,-5.0,25.0,-1.0,-14.0,-15.0,-9.0,-6.0,-23.0,18.0,-39.0,-37.0,-6.0,8.0,-7.0,10.0,22.0,-10.0,29.0,17.0,19.0,9.0,11.0,21.0,17.0,17.0,11.0,7.0,16.0,-5.0,24.0,-3.0,36.0,21.0,60.0,7.0,11.0,-10.0,-12.0,5.0,16.0,23.0,24.0,18.0,3.0,32.0,42.0,20.0,-18.0,-112.0,-11.0,-6.0,-27.0
59.0,37.0,27.0,16.0,1.0,3.0,-4.0,8.0,17.0,-3.0,10.0,-3.0,-18.0,-8.0,-1.0,-20.0,-20.0,-14.0,-12.0,-29.0,6.0,-37.0,-29.0,-32.0,-13.0,-26.0,-15.0,-14.0,-59.0,20.0,10.0,12.0,-10.0,-7.0,-14.0,-16.0,-14.0,-24.0,31.0,6.0,24.0,-2.0,-24.0,2.0,9.0,49.0,-8.0,-4.0,-21.0,-23.0,-7.0,6.0,8.0,7.0,-1.0,-12.0,20.0,32.0,9.0,-20.0,-130.0,-18.0,-12.0,-26.0
18.0,16.0,11.0,0.0,-12.0,-6.0,-18.0,2.0,3.0,-14.0,-1.0,-11.0,-22.0,-11.0,-3.0,-26.0,-27.0,-22.0,-18.0,-32.0,5.0,-45.0,-28.0,-38.0,-12.0,-26.0,-27.0,-8.0,-76.0,-8.0,-17.0,-13.0,-15.0,-11.0,-7.0,-7.0,-5.0,-27.0,15.0,-2.0,21.0,10.0,45.0,2.0,23.0,33.0,6.0,11.0,-13.0,-15.0,-1.0,11.0,13.0,14.0,8.0,13.0,35.0,42.0,14.0,-15.0,-114.0,-2.0,2.0,-3.0
21.0,25.0,22.0,12.0,2.0,2.0,-13.0,8.0,17.0,1.0,14.0,4.0,-8.0,10.0,11.0,-7.0,-13.0,-6.0,-2.0,-17.0,18.0,-44.0,-16.0,-24.0,-7.0,-5.0,-5.0,-3.0,19.0,18.0,11.0,12.0,5.0,8.0,-3.0,-4.0,-2.0,7.0,17.0,24.0,16.0,21.0,26.0,9.0,41.0,46.0,27.0,30.0,3.0,2.0,14.0,26.0,25.0,24.0,17.0,36.0,52.0,53.0,23.0,-6.0,-100.0,10.0,8.0,10.0
46.0,43.0,38.0,25.0,12.0,4.0,-18.0,15.0,30.0,13.0,24.0,12.0,-2.0,8.0,16.0,1.0,-4.0,1.0,3.0,-15.0,13.0,-27.0,-26.0,-13.0,16.0,-6.0,-6.0,2.0,44.0,17.0,18.0,18.0,9.0,12.0,3.0,2.0,4.0,32.0,22.0,44.0,12.0,24.0,40.0,4.0,39.0,36.0,26.0,29.0,1.0,1.0,14.0,26.0,23.0,17.0,3.0,33.0,50.0,56.0,22.0,-3.0,-100.0,20.0,16.0,20.0
44.0,43.0,42.0,27.0,16.0,10.0,-12.0,17.0,33.0,20.0,30.0,16.0,1.0,10.0,21.0,7.0,3.0,9.0,9.0,-6.0,11.0,-35.0,-35.0,-20.0,9.0,-7.0,2.0,13.0,4.0,17.0,13.0,16.0,16.0,18.0,13.0,12.0,13.0,16.0,24.0,40.0,36.0,13.0,26.0,-11.0,49.0,40.0,44.0,47.0,14.0,13.0,29.0,40.0,36.0,30.0,16.0,47.0,62.0,69.0,34.0,-3.0,-96.0,30.0,25.0,21.0
64.0,58.0,53.0,35.0,21.0,14.0,-5.0,39.0,46.0,33.0,43.0,21.0,1.0,-1.0,29.0,15.0,13.0,21.0,15.0,-1.0,15.0,-31.0,-51.0,-25.0,-2.0,-1.0,7.0,9.0,-16.0,23.0,40.0,42.0,24.0,26.0,10.0,9.0,11.0,8.0,13.0,27.0,47.0,8.0,-11.0,12.0,32.0,48.0,29.0,32.0,12.0,10.0,29.0,40.0,37.0,34.0,15.0,31.0,54.0,64.0,34.0,-16.0,-96.0,20.0,22.0,14.0
92.0,68.0,58.0,40.0,22.0,17.0,-1.0,32.0,46.0,35.0,44.0,22.0,4.0,5.0,19.0,10.0,12.0,21.0,15.0,-1.0,13.0,-16.0,-26.0,-23.0,-16.0,1.0,6.0,16.0,11.0,8.0,31.0,32.0,22.0,23.0,17.0,16.0,17.0,10.0,25.0,6.0,32.0,11.0,17.0,20.0,38.0,51.0,24.0,28.0,8.0,6.0,24.0,36.0,38.0,31.0,13.0,24.0,53.0,58.0,29.0,-22.0,-106.0,11.0,18.0,6.0
33.0,46.0,49.0,36.0,22.0,22.0,9.0,24.0,33.0,29.0,40.0,22.0,7.0,7.0,16.0,4.0,8.0,16.0,12.0,-4.0,13.0,-32.0,-19.0,-30.0,-6.0,-7.0,-3.0,18.0,16.0,33.0,13.0,15.0,11.0,13.0,17.0,14.0,15.0,4.0,33.0,17.0,23.0,9.0,34.0,1.0,38.0,44.0,24.0,27.0,-2.0,-5.0,12.0,22.0,23.0,17.0,-5.0,21.0,45.0,42.0,15.0,-42.0,-115.0,1.0,4.0,5.0
