Fc5.,Fc3.,Fc1.,Fcz.,Fc2.,Fc4.,Fc6.,C5..,C3..,C1..,Cz..,C2..,C4..,C6..,Cp5.,Cp3.,Cp1.,Cpz.,Cp2.,Cp4.,Cp6.,Fp1.,Fpz.,Fp2.,Af7.,Af3.,Afz.,Af4.,Af8.,F7..,F5..,F3..,F1..,Fz..,F2..,F4..,F6..,F8..,Ft7.,Ft8.,T7..,T8..,T9..,T10.,Tp7.,Tp8.,P7..,P5..,P3..,P1..,Pz..,P2..,P4..,P6..,P8..,Po7.,Po3.,Poz.,Po4.,Po8.,O1..,Oz..,O2..,Iz..
-34.0,-11.0,-2.0,21.0,23.0,12.0,7.0,-27.0,-15.0,11.0,16.0,22.0,13.0,-31.0,-12.0,14.0,6.0,24.0,20.0,6.0,22.0,-118.0,-104.0,-108.0,-170.0,-64.0,-14.0,-21.0,-32.0,-133.0,-64.0,-40.0,-13.0,-3.0,8.0,7.0,-12.0,-19.0,-54.0,-1.0,-25.0,2.0,-43.0,-6.0,-14.0,32.0,-37.0,-4.0,11.0,-11.0,24.0,9.0,11.0,12.0,7.0,-35.0,1.0,15.0,-4.0,16.0,-45.0,-20.0,-36.0,-68.0
10.0,23.0,27.0,32.0,31.0,23.0,24.0,25.0,22.0,33.0,27.0,32.0,29.0,-26.0,26.0,40.0,21.0,37.0,31.0,10.0,17.0,2.0,-12.0,-33.0,5.0,17.0,39.0,17.0,10.0,29.0,41.0,38.0,38.0,36.0,39.0,31.0,9.0,4.0,72.0,21.0,50.0,28.0,31.0,-4.0,50.0,26.0,-5.0,16.0,24.0,8.0,34.0,14.0,19.0,20.0,12.0,-17.0,18.0,26.0,12.0,25.0,-33.0,-8.0,-23.0,-61.0
61.0,56.0,53.0,56.0,50.0,42.0,39.0,47.0,43.0,53.0,48.0,51.0,46.0,-9.0,39.0,56.0,41.0,54.0,51.0,27.0,37.0,-12.0,-22.0,-59.0,-12.0,32.0,44.0,12.0,-6.0,12.0,30.0,37.0,36.0,41.0,43.0,33.0,9.0,-3.0,46.0,19.0,25.0,-12.0,7.0,33.0,11.0,67.0,-10.0,11.0,22.0,16.0,44.0,23.0,28.0,35.0,27.0,-19.0,14.0,29.0,14.0,32.0,-32.0,-9.0,-27.0,-61.0
18.0,26.0,27.0,37.0,37.0,27.0,21.0,7.0,4.0,18.0,18.0,24.0,24.0,-32.0,3.0,18.0,6.0,19.0,17.0,6.0,17.0,-61.0,-51.0,-66.0,-59.0,-10.0,6.0,-26.0,-26.0,-62.0,-14.0,-7.0,-7.0,-4.0,3.0,2.0,-31.0,-17.0,-14.0,16.0,-20.0,-26.0,-53.0,26.0,-16.0,5.0,-23.0,-13.0,-1.0,-20.0,16.0,-2.0,-4.0,5.0,1.0,-33.0,-4.0,14.0,1.0,21.0,-50.0,-26.0,-37.0,-68.0
-8.0,9.0,11.0,20.0,25.0,20.0,15.0,2.0,4.0,17.0,17.0,27.0,26.0,-31.0,18.0,35.0,18.0,30.0,23.0,13.0,23.0,-20.0,-24.0,-62.0,-28.0,5.0,15.0,-7.0,-2.0,-21.0,20.0,13.0,20.0,21.0,30.0,26.0,-25.0,-10.0,25.0,17.0,19.0,13.0,-6.0,10.0,16.0,27.0,-9.0,17.0,20.0,0.0,31.0,15.0,10.0,17.0,14.0,-9.0,10.0,29.0,14.0,18.0,-37.0,-18.0,-33.0,-61.0
26.0,26.0,24.0,33.0,37.0,32.0,30.0,10.0,7.0,24.0,20.0,27.0,35.0,-20.0,14.0,24.0,15.0,30.0,21.0,7.0,23.0,-48.0,-46.0,-80.0,-71.0,-19.0,10.0,-7.0,-46.0,-58.0,-3.0,-5.0,5.0,4.0,12.0,6.0,-18.0,-36.0,-6.0,1.0,-12.0,-16.0,-15.0,7.0,-7.0,30.0,-27.0,3.0,21.0,2.0,37.0,22.0,20.0,23.0,20.0,-20.0,20.0,38.0,27.0,29.0,-17.0,5.0,-16.0,-41.0
4.0,14.0,14.0,22.0,25.0,21.0,13.0,9.0,6.0,26.0,26.0,30.0,38.0,-28.0,30.0,41.0,29.0,42.0,31.0,21.0,36.0,-64.0,-56.0,-80.0,-65.0,-10.0,2.0,10.0,-32.0,-58.0,-8.0,8.0,18.0,17.0,24.0,18.0,-11.0,-22.0,17.0,5.0,17.0,-11.0,2.0,4.0,33.0,48.0,12.0,43.0,52.0,28.0,61.0,47.0,37.0,37.0,35.0,16.0,51.0,67.0,49.0,38.0,5.0,29.0,8.0,-34.0
46.0,48.0,44.0,52.0,47.0,42.0,33.0,44.0,39.0,51.0,48.0,55.0,55.0,-4.0,56.0,67.0,53.0,64.0,50.0,37.0,50.0,-27.0,-19.0,-53.0,-39.0,8.0,26.0,14.0,-13.0,-37.0,15.0,21.0,23.0,25.0,28.0,18.0,-14.0,-8.0,30.0,15.0,42.0,-2.0,-13.0,-7.0,34.0,30.0,13.0,42.0,53.0,29.0,52.0,38.0,29.0,29.0,23.0,10.0,45.0,59.0,40.0,37.0,1.0,31.0,8.0,-35.0
19.0,16.0,8.0,16.0,9.0,-2.0,-13.0,27.0,13.0,18.0,6.0,10.0,7.0,-47.0,41.0,37.0,21.0,26.0,6.0,-6.0,6.0,-46.0,-61.0,-91.0,-70.0,-30.0,-19.0,-56.0,-54.0,-67.0,-3.0,-22.0,-22.0,-26.0,-27.0,-35.0,-60.0,-53.0,11.0,-21.0,29.0,-48.0,-50.0,7.0,36.0,-18.0,8.0,30.0,42.0,18.0,39.0,17.0,10.0,16.0,13.0,5.0,41.0,52.0,33.0,36.0,-2.0,31.0,10.0,-34.0
13.0,9.0,-3.0,-8.0,-19.0,-25.0,-26.0,24.0,12.0,13.0,-1.0,-2.0,-1.0,-50.0,37.0,43.0,25.0,32.0,9.0,-4.0,7.0,-53.0,-54.0,-82.0,-62.0,-25.0,-3.0,-33.0,-32.0,-48.0,2.0,-6.0,-14.0,-21.0,-20.0,-36.0,-43.0,-22.0,16.0,-12.0,22.0,-18.0,-1.0,-26.0,15.0,8.0,6.0,27.0,37.0,21.0,33.0,11.0,3.0,10.0,5.0,8.0,41.0,41.0,22.0,17.0,-8.0,22.0,-6.0,-44.0
10.0,10.0,-2.0,-6.0,-24.0,-35.0,-34.0,10.0,6.0,6.0,-7.0,-11.0,-13.0,-65.0,22.0,31.0,18.0,21.0,-5.0,-17.0,-8.0,-60.0,-59.0,-97.0,-71.0,-27.0,-10.0,-30.0,-45.0,-46.0,9.0,-1.0,-8.0,-21.0,-18.0,-34.0,-50.0,-34.0,10.0,-5.0,-11.0,-34.0,-14.0,-8.0,9.0,16.0,10.0,36.0,42.0,24.0,42.0,13.0,12.0,12.0,14.0,18.0,50.0,49.0,31.0,15.0,6.0,25.0,-1.0,-39.0
20.0,24.0,6.0,2.0,-12.0,-18.0,-26.0,24.0,10.0,14.0,-2.0,-6.0,1.0,-45.0,35.0,39.0,20.0,24.0,6.0,-8.0,5.0,-71.0,-70.0,-97.0,-86.0,-32.0,-17.0,-35.0,-47.0,-62.0,-3.0,-10.0,-13.0,-20.0,-17.0,-25.0,-46.0,-39.0,1.0,-14.0,31.0,-25.0,-35.0,-18.0,36.0,8.0,11.0,36.0,46.0,29.0,45.0,27.0,23.0,22.0,22.0,16.0,44.0,54.0,39.0,25.0,-3.0,27.0,2.0,-42.0
11.0,33.0,31.0,35.0,25.0,14.0,15.0,30.0,28.0,41.0,37.0,34.0,34.0,-18.0,44.0,61.0,44.0,56.0,37.0,17.0,21.0,-39.0,-40.0,-64.0,-50.0,7.0,24.0,-17.0,-22.0,-42.0,31.0,27.0,26.0,26.0,26.0,22.0,-29.0,-26.0,21.0,0.0,4.0,17.0,-6.0,-1.0,21.0,22.0,20.0,37.0,41.0,31.0,46.0,27.0,34.0,25.0,26.0,12.0,41.0,47.0,33.0,29.0,-13.0,19.0,-7.0,-42.0
42.0,43.0,40.0,43.0,33.0,16.0,10.0,25.0,27.0,42.0,34.0,30.0,32.0,-17.0,37.0,50.0,37.0,50.0,28.0,8.0,25.0,-39.0,-47.0,-76.0,-46.0,0.0,25.0,-7.0,-49.0,-43.0,19.0,21.0,23.0,15.0,18.0,10.0,-35.0,-35.0,9.0,6.0,12.0,4.0,-5.0,-26.0,8.0,33.0,16.0,44.0,51.0,35.0,50.0,31.0,38.0,32.0,36.0,20.0,54.0,50.0,41.0,38.0,2.0,26.0,3.0,-27.0
38.0,31.0,29.0,31.0,14.0,5.0,6.0,18.0,14.0,32.0,25.0,21.0,18.0,-29.0,35.0,42.0,25.0,37.0,17.0,-1.0,21.0,-37.0,-42.0,-74.0,-37.0,-10.0,8.0,-10.0,-55.0,-59.0,-3.0,14.0,15.0,10.0,18.0,4.0,-32.0,-29.0,10.0,-2.0,1.0,-15.0,-25.0,-8.0,14.0,14.0,19.0,26.0,34.0,12.0,33.0,10.0,14.0,11.0,7.0,-8.0,26.0,32.0,8.0,13.0,-25.0,2.0,-11.0,-59.0
25.0,44.0,40.0,44.0,32.0,13.0,9.0,27.0,30.0,47.0,41.0,35.0,32.0,-29.0,37.0,49.0,31.0,48.0,30.0,7.0,16.0,-23.0,-24.0,-49.0,-44.0,10.0,30.0,3.0,-21.0,-44.0,8.0,31.0,35.0,33.0,35.0,21.0,-33.0,-25.0,16.0,2.0,19.0,-7.0,-34.0,-5.0,-3.0,21.0,-6.0,29.0,37.0,21.0,42.0,26.0,32.0,28.0,22.0,4.0,35.0,45.0,18.0,27.0,-7.0,14.0,-2.0,-37.0
19.0,40.0,38.0,48.0,37.0,22.0,19.0,16.0,20.0,46.0,36.0,35.0,39.0,-16.0,33.0,44.0,27.0,45.0,32.0,11.0,23.0,-24.0,-26.0,-52.0,-40.0,4.0,14.0,-9.0,-43.0,-46.0,7.0,15.0,21.0,22.0,29.0,24.0,-29.0,-23.0,8.0,10.0,-23.0,-8.0,-31.0,-1.0,17.0,4.0,4.0,37.0,34.0,18.0,40.0,22.0,32.0,25.0,15.0,2.0,39.0,43.0,17.0,23.0,-15.0,7.0,-6.0,-44.0
-3.0,26.0,26.0,42.0,41.0,25.0,15.0,7.0,10.0,32.0,29.0,34.0,35.0,-28.0,26.0,40.0,26.0,38.0,30.0,11.0,14.0,-43.0,-37.0,-68.0,-58.0,3.0,-1.0,-22.0,-35.0,-61.0,-25.0,13.0,21.0,25.0,33.0,30.0,-33.0,-26.0,3.0,-6.0,15.0,-22.0,-40.0,-16.0,-4.0,-2.0,-4.0,22.0,28.0,9.0,30.0,9.0,21.0,14.0,5.0,-14.0,27.0,36.0,5.0,11.0,-25.0,1.0,-16.0,-50.0
