Fc5.,Fc3.,Fc1.,Fcz.,Fc2.,Fc4.,Fc6.,C5..,C3..,C1..,Cz..,C2..,C4..,C6..,Cp5.,Cp3.,Cp1.,Cpz.,Cp2.,Cp4.,Cp6.,Fp1.,Fpz.,Fp2.,Af7.,Af3.,Afz.,Af4.,Af8.,F7..,F5..,F3..,F1..,Fz..,F2..,F4..,F6..,F8..,Ft7.,Ft8.,T7..,T8..,T9..,T10.,Tp7.,Tp8.,P7..,P5..,P3..,P1..,Pz..,P2..,P4..,P6..,P8..,Po7.,Po3.,Poz.,Po4.,Po8.,O1..,Oz..,O2..,Iz..
-34.0,-6.0,-8.0,-14.0,-5.0,-4.0,-9.0,-6.0,-6.0,-13.0,-6.0,-2.0,-2.0,-10.0,3.0,-6.0,-4.0,3.0,-3.0,2.0,-2.0,-35.0,-34.0,-42.0,-41.0,-43.0,-31.0,-42.0,-38.0,-32.0,-15.0,-16.0,-17.0,-16.0,-18.0,-18.0,-15.0,-30.0,8.0,-21.0,2.0,-21.0,-2.0,-12.0,12.0,-21.0,6.0,7.0,-4.0,-4.0,-6.0,10.0,-1.0,1.0,-24.0,-3.0,-2.0,-8.0,-13.0,-35.0,-5.0,-10.0,-11.0,-9.0
-35.0,-9.0,-10.0,-15.0,-6.0,-5.0,-12.0,-14.0,-12.0,-14.0,-4.0,4.0,7.0,-14.0,-1.0,-7.0,-4.0,3.0,6.0,15.0,12.0,-15.0,-27.0,-36.0,-31.0,-32.0,-19.0,-13.0,-9.0,-4.0,-4.0,-4.0,-5.0,-4.0,-2.0,-4.0,-15.0,-18.0,8.0,-3.0,13.0,0.0,18.0,6.0,19.0,2.0,8.0,8.0,2.0,2.0,5.0,24.0,20.0,22.0,3.0,-5.0,-1.0,-2.0,6.0,-16.0,-3.0,-12.0,-6.0,-10.0
-29.0,9.0,7.0,1.0,15.0,17.0,13.0,3.0,2.0,0.0,10.0,20.0,22.0,11.0,7.0,2.0,4.0,10.0,13.0,22.0,24.0,-43.0,-30.0,-52.0,-32.0,-33.0,-2.0,-19.0,-17.0,-10.0,1.0,-2.0,-2.0,-1.0,4.0,2.0,-13.0,-19.0,-32.0,3.0,1.0,4.0,5.0,10.0,18.0,2.0,-2.0,-2.0,-12.0,-13.0,-8.0,2.0,2.0,2.0,-5.0,-19.0,-17.0,-22.0,-18.0,-39.0,-21.0,-30.0,-23.0,-28.0
-26.0,-3.0,-5.0,-13.0,-6.0,-5.0,-3.0,-9.0,-10.0,-18.0,-13.0,-4.0,-10.0,-11.0,-17.0,-18.0,-15.0,-14.0,-18.0,-13.0,-10.0,-82.0,-59.0,-78.0,-64.0,-66.0,-23.0,-33.0,-31.0,-76.0,-22.0,-23.0,-23.0,-22.0,-16.0,-17.0,-48.0,-59.0,-40.0,-14.0,-7.0,-13.0,-11.0,-10.0,8.0,-12.0,-4.0,-2.0,-17.0,-16.0,-14.0,-10.0,-11.0,-10.0,-12.0,-11.0,-11.0,-19.0,-20.0,-40.0,-11.0,-17.0,-15.0,-15.0
-15.0,-2.0,-4.0,-13.0,-13.0,-10.0,-17.0,4.0,7.0,-7.0,-6.0,-2.0,-10.0,2.0,2.0,3.0,4.0,1.0,-5.0,-7.0,1.0,-63.0,-40.0,-63.0,-32.0,-32.0,-19.0,-23.0,-22.0,-40.0,-8.0,-8.0,-10.0,-10.0,-11.0,-13.0,-30.0,-28.0,9.0,11.0,-2.0,13.0,-6.0,-14.0,10.0,13.0,20.0,20.0,5.0,5.0,8.0,10.0,5.0,7.0,8.0,11.0,12.0,-1.0,2.0,-20.0,8.0,3.0,-1.0,4.0
-22.0,-5.0,-6.0,-17.0,-22.0,-20.0,-30.0,4.0,3.0,-14.0,-16.0,-16.0,-27.0,0.0,-3.0,-10.0,-7.0,-14.0,-23.0,-31.0,-17.0,-76.0,-56.0,-77.0,-16.0,-18.0,-35.0,-36.0,-34.0,-36.0,-40.0,-43.0,-43.0,-43.0,-42.0,-42.0,-31.0,-27.0,-6.0,-15.0,-46.0,-15.0,-46.0,-23.0,-25.0,-15.0,-25.0,-25.0,-38.0,-37.0,-38.0,-37.0,-37.0,-36.0,-23.0,-33.0,-32.0,-40.0,-42.0,-63.0,-37.0,-36.0,-37.0,-34.0
-58.0,-47.0,-49.0,-54.0,-62.0,-60.0,-65.0,-35.0,-41.0,-54.0,-56.0,-52.0,-62.0,-24.0,-41.0,-50.0,-45.0,-50.0,-59.0,-61.0,-44.0,-86.0,-66.0,-64.0,-38.0,-40.0,-46.0,-34.0,-31.0,-49.0,-57.0,-56.0,-57.0,-56.0,-46.0,-48.0,-26.0,-17.0,-2.0,-17.0,-60.0,-14.0,-42.0,-6.0,-26.0,-13.0,-29.0,-29.0,-40.0,-37.0,-37.0,-33.0,-32.0,-30.0,-12.0,-31.0,-29.0,-32.0,-33.0,-53.0,-29.0,-34.0,-30.0,-32.0
-39.0,-30.0,-31.0,-33.0,-32.0,-30.0,-34.0,-16.0,-18.0,-29.0,-29.0,-18.0,-24.0,-2.0,-15.0,-19.0,-17.0,-19.0,-22.0,-20.0,-5.0,-58.0,-35.0,-37.0,-24.0,-25.0,-23.0,-34.0,-32.0,-27.0,-20.0,-20.0,-21.0,-21.0,-12.0,-15.0,-4.0,-4.0,-4.0,-1.0,-1.0,1.0,3.0,2.0,9.0,-1.0,5.0,6.0,-10.0,-8.0,-8.0,-3.0,-6.0,-4.0,-5.0,-5.0,-5.0,-13.0,-15.0,-36.0,-7.0,-16.0,-15.0,-21.0
-25.0,-15.0,-16.0,-17.0,-8.0,-7.0,-1.0,-9.0,-7.0,-16.0,-13.0,-3.0,-3.0,-6.0,-11.0,-10.0,-8.0,-10.0,-10.0,-4.0,2.0,-66.0,-51.0,-53.0,-56.0,-58.0,-31.0,-74.0,-72.0,-75.0,-17.0,-19.0,-20.0,-18.0,-15.0,-15.0,-61.0,-49.0,-35.0,-11.0,-2.0,-9.0,-13.0,-26.0,12.0,-8.0,3.0,3.0,-11.0,-10.0,-8.0,0.0,-4.0,-3.0,-11.0,-10.0,-8.0,-10.0,-17.0,-37.0,-10.0,-11.0,-11.0,-19.0
-30.0,-12.0,-13.0,-12.0,-4.0,-2.0,6.0,-9.0,-3.0,-10.0,-6.0,5.0,7.0,-3.0,-7.0,-6.0,-3.0,-1.0,5.0,12.0,12.0,-41.0,-32.0,-33.0,-54.0,-55.0,-18.0,-43.0,-40.0,-49.0,-6.0,-6.0,-7.0,-6.0,-6.0,-7.0,-25.0,-42.0,-20.0,-1.0,8.0,3.0,-8.0,-1.0,27.0,2.0,13.0,14.0,1.0,1.0,5.0,19.0,12.0,13.0,0.0,1.0,1.0,2.0,-3.0,-24.0,-1.0,-4.0,-6.0,-14.0
