Fc5.,Fc3.,Fc1.,Fcz.,Fc2.,Fc4.,Fc6.,C5..,C3..,C1..,Cz..,C2..,C4..,C6..,Cp5.,Cp3.,Cp1.,Cpz.,Cp2.,Cp4.,Cp6.,Fp1.,Fpz.,Fp2.,Af7.,Af3.,Afz.,Af4.,Af8.,F7..,F5..,F3..,F1..,Fz..,F2..,F4..,F6..,F8..,Ft7.,Ft8.,T7..,T8..,T9..,T10.,Tp7.,Tp8.,P7..,P5..,P3..,P1..,Pz..,P2..,P4..,P6..,P8..,Po7.,Po3.,Poz.,Po4.,Po8.,O1..,Oz..,O2..,Iz..
79.0,76.0,80.0,88.0,81.0,90.0,129.0,35.0,36.0,19.0,27.0,33.0,46.0,49.0,8.0,40.0,24.0,16.0,11.0,24.0,26.0,276.0,289.0,287.0,285.0,287.0,187.0,242.0,297.0,151.0,142.0,137.0,133.0,134.0,143.0,129.0,178.0,171.0,55.0,64.0,26.0,52.0,10.0,32.0,4.0,53.0,13.0,26.0,33.0,20.0,25.0,14.0,21.0,19.0,11.0,29.0,28.0,18.0,32.0,11.0,13.0,17.0,21.0,12.0
67.0,70.0,74.0,88.0,76.0,90.0,133.0,50.0,59.0,41.0,52.0,55.0,61.0,66.0,45.0,70.0,60.0,53.0,50.0,58.0,51.0,190.0,209.0,210.0,194.0,207.0,164.0,200.0,217.0,114.0,126.0,144.0,131.0,132.0,140.0,132.0,163.0,139.0,60.0,56.0,49.0,62.0,13.0,37.0,82.0,64.0,63.0,69.0,63.0,55.0,59.0,49.0,55.0,43.0,26.0,65.0,56.0,47.0,60.0,32.0,48.0,48.0,54.0,41.0
75.0,76.0,78.0,94.0,76.0,84.0,128.0,51.0,62.0,44.0,59.0,63.0,64.0,64.0,44.0,74.0,59.0,57.0,54.0,59.0,53.0,134.0,141.0,147.0,136.0,172.0,140.0,152.0,149.0,109.0,88.0,116.0,106.0,109.0,118.0,110.0,130.0,110.0,45.0,44.0,36.0,52.0,2.0,33.0,50.0,54.0,33.0,40.0,36.0,31.0,44.0,37.0,48.0,29.0,18.0,34.0,28.0,30.0,50.0,21.0,25.0,23.0,45.0,21.0
51.0,52.0,55.0,79.0,68.0,78.0,118.0,14.0,44.0,31.0,55.0,61.0,66.0,62.0,13.0,46.0,43.0,51.0,51.0,61.0,53.0,70.0,86.0,97.0,72.0,110.0,119.0,136.0,109.0,72.0,34.0,116.0,108.0,110.0,117.0,115.0,131.0,102.0,34.0,51.0,28.0,55.0,1.0,33.0,25.0,59.0,12.0,30.0,39.0,33.0,51.0,46.0,54.0,29.0,22.0,17.0,32.0,39.0,58.0,31.0,15.0,23.0,49.0,19.0
72.0,75.0,78.0,99.0,92.0,96.0,126.0,29.0,67.0,51.0,74.0,78.0,81.0,70.0,26.0,61.0,60.0,66.0,64.0,69.0,58.0,55.0,63.0,60.0,70.0,110.0,120.0,127.0,56.0,79.0,68.0,120.0,115.0,112.0,117.0,117.0,123.0,89.0,43.0,49.0,31.0,46.0,8.0,43.0,33.0,50.0,21.0,38.0,34.0,32.0,46.0,37.0,41.0,15.0,7.0,14.0,18.0,29.0,48.0,22.0,14.0,18.0,44.0,20.0
51.0,49.0,53.0,65.0,56.0,56.0,111.0,11.0,32.0,18.0,37.0,42.0,41.0,34.0,3.0,31.0,30.0,35.0,29.0,28.0,21.0,-29.0,-20.0,-21.0,-39.0,61.0,61.0,47.0,-25.0,40.0,50.0,64.0,68.0,62.0,60.0,55.0,53.0,39.0,10.0,20.0,6.0,27.0,-10.0,24.0,11.0,25.0,-1.0,12.0,11.0,9.0,21.0,10.0,18.0,-3.0,-14.0,-10.0,-3.0,12.0,24.0,2.0,-7.0,2.0,20.0,-4.0
23.0,23.0,26.0,35.0,25.0,32.0,84.0,-5.0,19.0,5.0,18.0,23.0,20.0,20.0,5.0,19.0,20.0,23.0,20.0,22.0,17.0,-101.0,-83.0,-73.0,-72.0,-10.0,13.0,-18.0,-61.0,-7.0,12.0,39.0,37.0,33.0,29.0,17.0,23.0,18.0,1.0,16.0,8.0,38.0,-6.0,28.0,17.0,44.0,1.0,12.0,11.0,5.0,15.0,7.0,17.0,7.0,4.0,-11.0,-1.0,13.0,24.0,12.0,-3.0,13.0,27.0,16.0
15.0,14.0,18.0,15.0,6.0,11.0,65.0,13.0,18.0,-3.0,5.0,8.0,6.0,8.0,13.0,18.0,16.0,11.0,11.0,15.0,16.0,-147.0,-144.0,-136.0,-99.0,-46.0,-16.0,-33.0,-110.0,9.0,-6.0,18.0,15.0,8.0,7.0,-10.0,6.0,14.0,20.0,1.0,24.0,33.0,14.0,33.0,34.0,41.0,19.0,24.0,16.0,10.0,19.0,8.0,12.0,3.0,7.0,3.0,4.0,13.0,20.0,3.0,8.0,14.0,27.0,17.0
22.0,21.0,25.0,12.0,-1.0,3.0,51.0,26.0,24.0,1.0,9.0,10.0,2.0,0.0,19.0,12.0,19.0,14.0,6.0,10.0,5.0,-205.0,-194.0,-192.0,-158.0,-100.0,-45.0,-60.0,-178.0,-7.0,-25.0,-7.0,6.0,-5.0,-8.0,-29.0,-12.0,-27.0,14.0,-27.0,28.0,20.0,21.0,7.0,37.0,26.0,15.0,22.0,14.0,5.0,7.0,-4.0,-2.0,-16.0,-13.0,4.0,5.0,2.0,1.0,-15.0,0.0,-4.0,10.0,1.0
16.0,15.0,20.0,7.0,-1.0,0.0,35.0,24.0,32.0,4.0,12.0,12.0,4.0,2.0,29.0,19.0,24.0,18.0,7.0,8.0,2.0,-240.0,-240.0,-229.0,-182.0,-100.0,-69.0,-95.0,-227.0,-30.0,-36.0,-10.0,-1.0,-13.0,-13.0,-25.0,-42.0,-47.0,17.0,-27.0,34.0,21.0,36.0,12.0,53.0,26.0,36.0,41.0,33.0,18.0,16.0,-3.0,-5.0,-20.0,-12.0,44.0,30.0,10.0,-2.0,-13.0,36.0,18.0,27.0,33.0
20.0,19.0,24.0,8.0,2.0,2.0,35.0,42.0,35.0,3.0,14.0,10.0,3.0,-4.0,36.0,42.0,27.0,15.0,5.0,-4.0,-15.0,-273.0,-275.0,-271.0,-216.0,-88.0,-96.0,-120.0,-279.0,-34.0,-74.0,-46.0,-25.0,-32.0,-34.0,-44.0,-63.0,-64.0,8.0,-36.0,31.0,1.0,28.0,6.0,37.0,2.0,42.0,39.0,30.0,15.0,11.0,-14.0,-18.0,-34.0,-27.0,43.0,25.0,4.0,-12.0,-21.0,34.0,14.0,20.0,23.0
-3.0,-5.0,-1.0,-9.0,-14.0,-9.0,18.0,23.0,16.0,-14.0,3.0,-1.0,-3.0,-13.0,23.0,36.0,18.0,10.0,-1.0,-6.0,-18.0,-331.0,-299.0,-286.0,-271.0,-122.0,-121.0,-147.0,-296.0,-71.0,-96.0,-60.0,-41.0,-48.0,-50.0,-58.0,-84.0,-77.0,-13.0,-35.0,16.0,3.0,12.0,-1.0,-50.0,-2.0,18.0,14.0,14.0,1.0,2.0,-23.0,-20.0,-31.0,-33.0,18.0,3.0,-6.0,-14.0,-25.0,6.0,-2.0,6.0,1.0
-20.0,-21.0,-19.0,-21.0,-21.0,-20.0,17.0,-1.0,-1.0,-23.0,-7.0,-12.0,-7.0,-16.0,-3.0,16.0,6.0,-1.0,-9.0,-8.0,-17.0,-345.0,-336.0,-304.0,-319.0,-147.0,-110.0,-157.0,-295.0,-83.0,-77.0,-53.0,-37.0,-45.0,-58.0,-68.0,-83.0,-72.0,-17.0,-35.0,10.0,2.0,15.0,8.0,24.0,0.0,16.0,11.0,3.0,-6.0,-8.0,-28.0,-23.0,-29.0,-26.0,20.0,-2.0,-15.0,-13.0,-19.0,4.0,-11.0,2.0,1.0
-25.0,-28.0,-24.0,-31.0,-44.0,-46.0,6.0,-3.0,-11.0,-36.0,-27.0,-37.0,-30.0,-31.0,-8.0,1.0,-15.0,-24.0,-30.0,-30.0,-34.0,-369.0,-353.0,-337.0,-293.0,-198.0,-133.0,-180.0,-319.0,-92.0,-107.0,-86.0,-70.0,-74.0,-90.0,-96.0,-107.0,-88.0,-26.0,-53.0,2.0,-13.0,2.0,1.0,18.0,-14.0,-5.0,-14.0,-21.0,-35.0,-38.0,-58.0,-48.0,-47.0,-37.0,-10.0,-35.0,-51.0,-42.0,-42.0,-41.0,-45.0,-33.0,-44.0
-45.0,-50.0,-44.0,-64.0,-76.0,-78.0,-32.0,-23.0,-23.0,-57.0,-53.0,-63.0,-53.0,-51.0,-20.0,-16.0,-37.0,-45.0,-52.0,-46.0,-46.0,-380.0,-343.0,-351.0,-294.0,-227.0,-191.0,-211.0,-346.0,-115.0,-139.0,-108.0,-97.0,-102.0,-118.0,-112.0,-129.0,-101.0,-27.0,-60.0,4.0,-15.0,8.0,-1.0,5.0,-16.0,-10.0,-21.0,-28.0,-48.0,-49.0,-64.0,-45.0,-39.0,-30.0,-12.0,-39.0,-52.0,-39.0,-31.0,-42.0,-34.0,-22.0,-16.0
-37.0,-39.0,-33.0,-71.0,-76.0,-70.0,-36.0,-2.0,-17.0,-58.0,-54.0,-56.0,-48.0,-44.0,-8.0,2.0,-34.0,-41.0,-42.0,-34.0,-35.0,-374.0,-352.0,-346.0,-327.0,-224.0,-186.0,-198.0,-341.0,-79.0,-122.0,-101.0,-93.0,-99.0,-111.0,-113.0,-114.0,-85.0,-9.0,-50.0,25.0,-10.0,46.0,11.0,12.0,-15.0,-4.0,-18.0,-25.0,-43.0,-44.0,-50.0,-31.0,-25.0,-22.0,-6.0,-38.0,-40.0,-23.0,-18.0,-28.0,-21.0,-4.0,4.0
