      Time       Date     Sample #  Type  Sub Chan  Num	Aux
[16:15:00.000 12/08/2009]        0     "    0    0    0	## time resolution: 160
[16:15:00.000 12/08/2009]        0          0    0    0
[16:15:00.000 12/08/2009]        0     "    0    0    0	T0 duration: 4.1
[16:15:08.250 12/08/2009]     1320     "    0    0    0	T0 duration: 4.05
[16:15:16.450 12/08/2009]     2632     "    0    0    0	T0 duration: 4.05
[16:15:24.650 12/08/2009]     3944     "    0    0    0	T0 duration: 4.05
[16:15:32.850 12/08/2009]     5256     "    0    0    0	T0 duration: 4.05
[16:15:41.050 12/08/2009]     6568     "    0    0    0	T0 duration: 4.05
[16:15:49.250 12/08/2009]     7880     "    0    0    0	T0 duration: 4.05
[16:15:57.450 12/08/2009]     9192     "    0    0    0	T0 duration: 4.05
[16:16:05.650 12/08/2009]    10504     "    0    0    0	T0 duration: 4.05
[16:16:13.850 12/08/2009]    11816     "    0    0    0	T0 duration: 4.05
[16:16:22.050 12/08/2009]    13128     "    0    0    0	T0 duration: 4.05
[16:16:30.250 12/08/2009]    14440     "    0    0    0	T0 duration: 4.05
[16:16:38.450 12/08/2009]    15752     "    0    0    0	T0 duration: 4.05
[16:16:58.900 12/08/2009]    19024     "    0    0    0	T1 duration: 4.1
