      Time       Date     Sample #  Type  Sub Chan  Num	Aux
[16:15:00.000 12/08/2009]        0     "    0    0    0	## time resolution: 160
[16:15:00.000 12/08/2009]        0          0    0    0
[16:15:00.000 12/08/2009]        0     "    0    0    0	T0 duration: 4.3
[16:15:04.300 12/08/2009]      688     "    0    0    0	T1 duration: 4.1
[16:15:08.400 12/08/2009]     1344     "    0    0    0	T0 duration: 4.1
[16:15:12.500 12/08/2009]     2000     "    0    0    0	T2 duration: 4.1
[16:15:16.600 12/08/2009]     2656     "    0    0    0	T0 duration: 4.1
[16:15:20.700 12/08/2009]     3312     "    0    0    0	T2 duration: 4.1
[16:15:24.800 12/08/2009]     3968     "    0    0    0	T0 duration: 4.1
[16:15:28.900 12/08/2009]     4624     "    0    0    0	T1 duration: 4.1
[16:15:33.000 12/08/2009]     5280     "    0    0    0	T0 duration: 4.1
[16:15:37.100 12/08/2009]     5936     "    0    0    0	T2 duration: 4.1
[16:15:41.200 12/08/2009]     6592     "    0    0    0	T0 duration: 4.1
[16:15:45.300 12/08/2009]     7248     "    0    0    0	T1 duration: 4.1
[16:15:49.400 12/08/2009]     7904     "    0    0    0	T0 duration: 4.1
[16:15:53.500 12/08/2009]     8560     "    0    0    0	T1 duration: 4.1
[16:15:57.600 12/08/2009]     9216     "    0    0    0	T0 duration: 4.1
[16:16:01.700 12/08/2009]     9872     "    0    0    0	T2 duration: 4.1
[16:16:05.800 12/08/2009]    10528     "    0    0    0	T0 duration: 4.1
[16:16:09.900 12/08/2009]    11184     "    0    0    0	T1 duration: 4.1
[16:16:14.000 12/08/2009]    11840     "    0    0    0	T0 duration: 4.1
[16:16:18.100 12/08/2009]    12496     "    0    0    0	T2 duration: 4.1
[16:16:22.200 12/08/2009]    13152     "    0    0    0	T0 duration: 4.1
[16:16:26.300 12/08/2009]    13808     "    0    0    0	T2 duration: 4.1
[16:16:30.400 12/08/2009]    14464     "    0    0    0	T0 duration: 4.1
[16:16:34.500 12/08/2009]    15120     "    0    0    0	T1 duration: 4.1
[16:16:38.600 12/08/2009]    15776     "    0    0    0	T0 duration: 4.1
[16:16:42.700 12/08/2009]    16432     "    0    0    0	T2 duration: 4.1
[16:16:46.800 12/08/2009]    17088     "    0    0    0	T0 duration: 4.1
[16:16:50.900 12/08/2009]    17744     "    0    0    0	T1 duration: 4.1
[16:16:55.000 12/08/2009]    18400     "    0    0    0	T0 duration: 4.1
[16:16:59.100 12/08/2009]    19056     "    0    0    0	T2 duration: 4
