Fc5.,Fc3.,Fc1.,Fcz.,Fc2.,Fc4.,Fc6.,C5..,C3..,C1..,Cz..,C2..,C4..,C6..,Cp5.,Cp3.,Cp1.,Cpz.,Cp2.,Cp4.,Cp6.,Fp1.,Fpz.,Fp2.,Af7.,Af3.,Afz.,Af4.,Af8.,F7..,F5..,F3..,F1..,Fz..,F2..,F4..,F6..,F8..,Ft7.,Ft8.,T7..,T8..,T9..,T10.,Tp7.,Tp8.,P7..,P5..,P3..,P1..,Pz..,P2..,P4..,P6..,P8..,Po7.,Po3.,Poz.,Po4.,Po8.,O1..,Oz..,O2..,Iz..
10.0,-2.0,1.0,-3.0,11.0,2.0,2.0,-6.0,-104.0,-7.0,-7.0,-1.0,7.0,2.0,-23.0,-68.0,-11.0,-13.0,-24.0,-7.0,-3.0,-3.0,21.0,-25.0,-10.0,-23.0,-1.0,16.0,-22.0,-33.0,27.0,16.0,17.0,11.0,10.0,16.0,9.0,-46.0,-6.0,4.0,-12.0,5.0,-8.0,17.0,-55.0,-1.0,-15.0,-21.0,-17.0,-42.0,-50.0,-32.0,-33.0,-15.0,-20.0,-30.0,-21.0,-38.0,-30.0,-27.0,-27.0,-15.0,-31.0,-29.0
7.0,12.0,22.0,18.0,30.0,18.0,13.0,14.0,-91.0,7.0,6.0,13.0,18.0,11.0,-13.0,-53.0,2.0,2.0,-18.0,-6.0,5.0,17.0,39.0,14.0,11.0,19.0,11.0,3.0,-4.0,-17.0,8.0,19.0,22.0,18.0,14.0,10.0,7.0,-25.0,25.0,-11.0,6.0,13.0,-31.0,-17.0,-17.0,-1.0,-29.0,-22.0,-13.0,-40.0,-42.0,-29.0,-25.0,-21.0,-25.0,-37.0,-25.0,-42.0,-32.0,-34.0,-38.0,-27.0,-39.0,-44.0
1.0,6.0,19.0,19.0,30.0,19.0,8.0,-5.0,-99.0,3.0,10.0,14.0,19.0,6.0,-21.0,-61.0,1.0,-2.0,-12.0,-8.0,2.0,2.0,17.0,-15.0,-24.0,5.0,-3.0,-29.0,-18.0,-30.0,-25.0,-24.0,0.0,6.0,10.0,24.0,-14.0,-23.0,-14.0,-6.0,-7.0,21.0,-17.0,-35.0,9.0,-1.0,-40.0,-35.0,-24.0,-44.0,-45.0,-24.0,-20.0,-20.0,-29.0,-50.0,-35.0,-48.0,-29.0,-35.0,-45.0,-31.0,-37.0,-48.0
-36.0,-35.0,0.0,8.0,21.0,13.0,5.0,-30.0,-122.0,0.0,9.0,14.0,27.0,6.0,-28.0,-66.0,7.0,5.0,-7.0,-2.0,8.0,-16.0,8.0,-32.0,-12.0,-26.0,-13.0,2.0,27.0,-30.0,-38.0,-34.0,-13.0,-1.0,4.0,7.0,2.0,-8.0,-25.0,6.0,-16.0,17.0,-14.0,26.0,-20.0,7.0,-23.0,-23.0,-16.0,-35.0,-29.0,-11.0,-7.0,-5.0,-15.0,-29.0,-21.0,-36.0,-12.0,-16.0,-24.0,-14.0,-21.0,-31.0
-52.0,-41.0,-6.0,-1.0,10.0,2.0,2.0,-30.0,-109.0,-1.0,5.0,8.0,21.0,3.0,-27.0,-73.0,-5.0,-12.0,-21.0,-6.0,5.0,-44.0,-9.0,-40.0,-33.0,-43.0,-40.0,1.0,-7.0,-45.0,-29.0,-51.0,-41.0,-34.0,-25.0,-30.0,-7.0,-28.0,-53.0,-4.0,-32.0,3.0,-38.0,8.0,-38.0,-3.0,-31.0,-34.0,-37.0,-53.0,-51.0,-35.0,-19.0,-21.0,-26.0,-39.0,-37.0,-50.0,-30.0,-31.0,-39.0,-32.0,-40.0,-45.0
-62.0,-56.0,-45.0,-42.0,-27.0,-29.0,-24.0,-61.0,-133.0,-40.0,-37.0,-23.0,-6.0,-18.0,-59.0,-90.0,-35.0,-40.0,-41.0,-26.0,-14.0,-78.0,-41.0,-37.0,-85.0,-60.0,-69.0,-52.0,-44.0,-86.0,-27.0,-52.0,-53.0,-53.0,-45.0,-41.0,-22.0,-48.0,-53.0,-22.0,-42.0,10.0,-20.0,-36.0,-64.0,1.0,-18.0,-32.0,-34.0,-53.0,-61.0,-39.0,-14.0,-17.0,-19.0,-25.0,-21.0,-45.0,-26.0,-24.0,-31.0,-23.0,-31.0,-34.0
-18.0,-24.0,-21.0,-28.0,-16.0,-11.0,-11.0,-13.0,-109.0,-17.0,-23.0,-17.0,-1.0,-7.0,-25.0,-62.0,-8.0,-17.0,-29.0,-15.0,-7.0,-36.0,-16.0,-28.0,-32.0,-26.0,-34.0,-15.0,-19.0,-41.0,14.0,-2.0,-12.0,-20.0,-16.0,-4.0,10.0,-35.0,-6.0,-5.0,4.0,-3.0,-10.0,13.0,1.0,2.0,20.0,7.0,-8.0,-48.0,-64.0,-38.0,-23.0,-16.0,-20.0,-5.0,1.0,-47.0,-30.0,-20.0,-16.0,-12.0,-22.0,-19.0
8.0,-4.0,-4.0,-15.0,-4.0,1.0,4.0,-8.0,-96.0,-16.0,-25.0,-22.0,-6.0,-7.0,-8.0,-67.0,-14.0,-20.0,-46.0,-20.0,-18.0,-7.0,-1.0,-47.0,13.0,-42.0,-23.0,18.0,0.0,-32.0,-11.0,-3.0,-8.0,-17.0,-10.0,-2.0,3.0,-6.0,-9.0,1.0,14.0,-35.0,-8.0,14.0,35.0,-5.0,27.0,-1.0,-23.0,-65.0,-68.0,-52.0,-42.0,-27.0,-26.0,-4.0,-13.0,-54.0,-34.0,-26.0,-20.0,-10.0,-25.0,-13.0
-16.0,-19.0,-21.0,-31.0,-22.0,-13.0,-8.0,-30.0,-110.0,-31.0,-42.0,-31.0,-11.0,-9.0,-23.0,-87.0,-27.0,-29.0,-55.0,-27.0,-17.0,-14.0,-10.0,-60.0,-26.0,-70.0,-32.0,-32.0,-25.0,-31.0,-18.0,-6.0,-13.0,-20.0,-12.0,-4.0,-5.0,-5.0,-4.0,-15.0,11.0,17.0,17.0,2.0,34.0,6.0,30.0,5.0,-16.0,-58.0,-61.0,-40.0,-33.0,-12.0,-12.0,13.0,-1.0,-37.0,-15.0,-12.0,-13.0,6.0,-14.0,5.0
11.0,-1.0,0.0,-7.0,1.0,6.0,0.0,7.0,-102.0,-6.0,-18.0,-7.0,2.0,2.0,0.0,-60.0,-5.0,-15.0,-30.0,-11.0,4.0,9.0,15.0,-6.0,20.0,10.0,-8.0,-1.0,4.0,1.0,9.0,-12.0,3.0,6.0,12.0,25.0,13.0,-2.0,10.0,3.0,18.0,54.0,33.0,17.0,23.0,13.0,41.0,18.0,-4.0,-50.0,-58.0,-33.0,-20.0,-4.0,-7.0,14.0,4.0,-31.0,-11.0,-6.0,-9.0,4.0,-8.0,8.0
26.0,16.0,7.0,7.0,16.0,14.0,8.0,18.0,-93.0,0.0,-17.0,-2.0,4.0,3.0,-1.0,-58.0,0.0,-15.0,-25.0,-6.0,1.0,-6.0,25.0,32.0,10.0,18.0,-1.0,12.0,43.0,-5.0,24.0,-4.0,12.0,17.0,26.0,44.0,30.0,12.0,21.0,20.0,29.0,38.0,34.0,9.0,34.0,20.0,47.0,20.0,-1.0,-42.0,-46.0,-18.0,4.0,12.0,15.0,19.0,8.0,-14.0,7.0,12.0,5.0,21.0,11.0,24.0
29.0,33.0,34.0,35.0,46.0,41.0,42.0,26.0,-66.0,25.0,23.0,32.0,34.0,34.0,20.0,-46.0,23.0,21.0,4.0,25.0,34.0,22.0,45.0,29.0,42.0,30.0,35.0,59.0,52.0,-1.0,43.0,43.0,53.0,54.0,60.0,59.0,52.0,31.0,44.0,39.0,49.0,50.0,45.0,-1.0,12.0,34.0,55.0,29.0,11.0,-19.0,-39.0,-3.0,7.0,9.0,12.0,29.0,16.0,-16.0,-3.0,4.0,6.0,12.0,0.0,16.0
43.0,34.0,43.0,39.0,46.0,34.0,30.0,26.0,-64.0,21.0,15.0,21.0,13.0,15.0,-3.0,-57.0,6.0,2.0,-18.0,-10.0,3.0,18.0,31.0,18.0,11.0,22.0,21.0,25.0,-4.0,-17.0,42.0,34.0,35.0,24.0,29.0,27.0,19.0,-12.0,19.0,14.0,16.0,2.0,-8.0,-17.0,6.0,-12.0,38.0,12.0,-6.0,-33.0,-61.0,-35.0,-33.0,-34.0,-33.0,12.0,4.0,-40.0,-39.0,-36.0,-12.0,-12.0,-30.0,-1.0
44.0,31.0,25.0,16.0,23.0,7.0,5.0,8.0,-62.0,14.0,-2.0,4.0,-7.0,-7.0,-3.0,-49.0,2.0,-18.0,-29.0,-27.0,-23.0,3.0,10.0,-21.0,-13.0,12.0,8.0,6.0,-3.0,5.0,56.0,40.0,33.0,21.0,21.0,23.0,10.0,-16.0,10.0,-4.0,25.0,-20.0,24.0,-6.0,38.0,-18.0,48.0,29.0,10.0,-25.0,-42.0,-30.0,-22.0,-30.0,-30.0,22.0,17.0,-25.0,-26.0,-23.0,-3.0,-1.0,-16.0,11.0
34.0,33.0,37.0,23.0,31.0,10.0,7.0,21.0,-63.0,25.0,16.0,15.0,10.0,-2.0,17.0,-40.0,20.0,-5.0,-24.0,-3.0,-10.0,6.0,20.0,-34.0,6.0,16.0,15.0,-10.0,-1.0,-5.0,51.0,45.0,41.0,29.0,23.0,31.0,11.0,3.0,34.0,-10.0,54.0,12.0,44.0,3.0,58.0,-4.0,53.0,33.0,14.0,-25.0,-46.0,-22.0,-1.0,-8.0,-19.0,27.0,17.0,-22.0,-10.0,-7.0,-2.0,1.0,-6.0,12.0
47.0,45.0,43.0,33.0,42.0,25.0,21.0,40.0,-60.0,27.0,22.0,24.0,19.0,11.0,23.0,-39.0,22.0,-1.0,-13.0,3.0,5.0,12.0,29.0,15.0,-25.0,13.0,22.0,2.0,-7.0,-14.0,37.0,40.0,41.0,29.0,27.0,30.0,28.0,12.0,33.0,24.0,41.0,25.0,16.0,3.0,46.0,2.0,48.0,24.0,5.0,-31.0,-60.0,-24.0,-5.0,-7.0,-15.0,23.0,8.0,-32.0,-13.0,-12.0,-6.0,-1.0,-6.0,2.0
31.0,34.0,28.0,22.0,26.0,21.0,27.0,16.0,-84.0,10.0,9.0,15.0,6.0,16.0,11.0,-55.0,4.0,-2.0,-8.0,5.0,10.0,24.0,28.0,6.0,61.0,4.0,30.0,59.0,23.0,12.0,22.0,24.0,45.0,37.0,36.0,38.0,36.0,26.0,26.0,43.0,50.0,37.0,52.0,21.0,56.0,26.0,63.0,40.0,22.0,-8.0,-49.0,-4.0,10.0,15.0,15.0,43.0,31.0,-6.0,11.0,15.0,19.0,29.0,13.0,30.0
33.0,43.0,45.0,42.0,51.0,45.0,48.0,30.0,-72.0,25.0,23.0,34.0,27.0,34.0,23.0,-40.0,18.0,16.0,2.0,21.0,24.0,24.0,30.0,23.0,38.0,17.0,29.0,25.0,42.0,-7.0,20.0,15.0,25.0,23.0,25.0,29.0,15.0,11.0,27.0,25.0,27.0,27.0,26.0,6.0,21.0,10.0,39.0,15.0,-4.0,-41.0,-78.0,-34.0,-17.0,-17.0,-17.0,7.0,-5.0,-38.0,-23.0,-17.0,-21.0,-13.0,-23.0,-1.0
