Fc5.,Fc3.,Fc1.,Fcz.,Fc2.,Fc4.,Fc6.,C5..,C3..,C1..,Cz..,C2..,C4..,C6..,Cp5.,Cp3.,Cp1.,Cpz.,Cp2.,Cp4.,Cp6.,Fp1.,Fpz.,Fp2.,Af7.,Af3.,Afz.,Af4.,Af8.,F7..,F5..,F3..,F1..,Fz..,F2..,F4..,F6..,F8..,Ft7.,Ft8.,T7..,T8..,T9..,T10.,Tp7.,Tp8.,P7..,P5..,P3..,P1..,Pz..,P2..,P4..,P6..,P8..,Po7.,Po3.,Poz.,Po4.,Po8.,O1..,Oz..,O2..,Iz..
46.0,22.0,23.0,26.0,20.0,11.0,23.0,20.0,25.0,23.0,23.0,21.0,25.0,2.0,20.0,17.0,19.0,21.0,25.0,26.0,47.0,40.0,30.0,26.0,54.0,52.0,23.0,26.0,-38.0,48.0,45.0,45.0,32.0,32.0,24.0,18.0,6.0,-3.0,37.0,24.0,43.0,-9.0,21.0,0.0,42.0,25.0,12.0,21.0,16.0,25.0,24.0,22.0,24.0,21.0,12.0,18.0,17.0,15.0,7.0,-26.0,11.0,15.0,21.0,15.0
51.0,22.0,25.0,26.0,23.0,19.0,15.0,17.0,24.0,23.0,24.0,23.0,28.0,21.0,14.0,15.0,17.0,18.0,21.0,17.0,32.0,36.0,24.0,13.0,50.0,50.0,20.0,24.0,-42.0,42.0,39.0,39.0,28.0,27.0,22.0,18.0,-9.0,-8.0,33.0,25.0,44.0,0.0,20.0,4.0,33.0,24.0,3.0,13.0,9.0,16.0,14.0,11.0,10.0,9.0,5.0,8.0,9.0,6.0,-2.0,-33.0,4.0,5.0,8.0,8.0
34.0,13.0,14.0,18.0,13.0,10.0,-4.0,3.0,19.0,16.0,14.0,13.0,15.0,6.0,-4.0,17.0,14.0,15.0,15.0,11.0,23.0,26.0,19.0,11.0,44.0,45.0,11.0,12.0,-45.0,35.0,31.0,31.0,22.0,19.0,16.0,12.0,-18.0,-23.0,30.0,13.0,36.0,-14.0,19.0,1.0,12.0,3.0,2.0,17.0,14.0,20.0,18.0,16.0,15.0,14.0,14.0,13.0,13.0,12.0,6.0,-23.0,9.0,12.0,18.0,12.0
39.0,21.0,20.0,22.0,17.0,16.0,9.0,19.0,26.0,23.0,20.0,19.0,20.0,8.0,19.0,17.0,18.0,18.0,22.0,19.0,34.0,24.0,22.0,17.0,46.0,53.0,14.0,19.0,-44.0,35.0,28.0,28.0,22.0,22.0,17.0,12.0,1.0,-22.0,31.0,17.0,32.0,5.0,19.0,7.0,39.0,33.0,8.0,18.0,12.0,22.0,19.0,16.0,20.0,19.0,15.0,13.0,6.0,7.0,7.0,-23.0,3.0,10.0,19.0,7.0
45.0,12.0,17.0,19.0,14.0,0.0,22.0,21.0,16.0,16.0,17.0,13.0,16.0,9.0,17.0,6.0,11.0,11.0,16.0,13.0,32.0,29.0,20.0,15.0,47.0,55.0,16.0,25.0,-45.0,34.0,30.0,30.0,21.0,23.0,19.0,16.0,-1.0,-7.0,33.0,22.0,31.0,-4.0,18.0,1.0,21.0,6.0,-4.0,5.0,-1.0,8.0,8.0,8.0,10.0,9.0,3.0,2.0,2.0,0.0,2.0,-28.0,0.0,1.0,10.0,5.0
47.0,16.0,20.0,24.0,22.0,17.0,15.0,20.0,19.0,19.0,20.0,19.0,27.0,2.0,14.0,10.0,13.0,13.0,18.0,16.0,30.0,35.0,22.0,16.0,51.0,54.0,22.0,28.0,-45.0,41.0,39.0,40.0,30.0,30.0,27.0,23.0,-1.0,-8.0,38.0,20.0,41.0,-7.0,27.0,-4.0,30.0,17.0,7.0,15.0,9.0,19.0,16.0,17.0,20.0,19.0,14.0,15.0,11.0,8.0,14.0,-17.0,7.0,12.0,23.0,14.0
45.0,29.0,30.0,29.0,27.0,19.0,24.0,13.0,30.0,26.0,25.0,22.0,26.0,23.0,14.0,15.0,16.0,14.0,21.0,20.0,37.0,39.0,30.0,25.0,54.0,53.0,25.0,28.0,-38.0,42.0,37.0,36.0,33.0,31.0,28.0,21.0,-4.0,-8.0,33.0,23.0,23.0,1.0,14.0,6.0,36.0,34.0,5.0,13.0,4.0,17.0,14.0,14.0,17.0,18.0,12.0,10.0,6.0,5.0,12.0,-22.0,-1.0,5.0,16.0,3.0
37.0,16.0,18.0,18.0,13.0,2.0,15.0,11.0,15.0,13.0,13.0,8.0,8.0,3.0,10.0,4.0,5.0,4.0,10.0,8.0,26.0,27.0,18.0,12.0,43.0,44.0,13.0,19.0,-52.0,34.0,26.0,26.0,20.0,18.0,15.0,10.0,-9.0,-25.0,25.0,9.0,29.0,-3.0,8.0,0.0,9.0,3.0,-11.0,1.0,-8.0,4.0,4.0,8.0,6.0,8.0,3.0,0.0,3.0,2.0,4.0,-26.0,-4.0,-2.0,6.0,-2.0
35.0,4.0,7.0,11.0,5.0,-4.0,13.0,4.0,2.0,5.0,6.0,2.0,3.0,-6.0,3.0,-2.0,1.0,3.0,8.0,4.0,22.0,23.0,11.0,5.0,34.0,37.0,6.0,5.0,-61.0,27.0,20.0,21.0,17.0,14.0,11.0,10.0,-15.0,-44.0,22.0,13.0,24.0,-4.0,11.0,5.0,32.0,20.0,0.0,10.0,3.0,18.0,17.0,15.0,16.0,14.0,9.0,11.0,10.0,13.0,9.0,-24.0,4.0,13.0,16.0,9.0
41.0,20.0,19.0,17.0,14.0,7.0,12.0,14.0,19.0,20.0,19.0,15.0,20.0,1.0,11.0,12.0,14.0,14.0,20.0,18.0,32.0,28.0,14.0,13.0,38.0,36.0,16.0,15.0,-44.0,37.0,31.0,30.0,29.0,24.0,20.0,17.0,-8.0,-15.0,28.0,26.0,33.0,-7.0,15.0,2.0,29.0,-6.0,0.0,12.0,7.0,21.0,21.0,18.0,19.0,18.0,12.0,8.0,9.0,15.0,11.0,-23.0,6.0,10.0,12.0,4.0
